,Rank,Date,Team,Acquired,Relinquished,Notes
32,32,1984-02-02,PHI,,Leo Rautins,placed on IL with ankle injury
33,33,1984-02-05,POR,Darnell Valentine,,activated from IL
34,34,1984-02-13,SEA,,Clay Johnson,placed on IL with knee injury
35,35,1984-02-13,SEA,Fred Brown,,activated from IL
36,36,1984-02-18,IND,,Herb Williams,placed on IL with sprained ankle
37,37,1984-03-02,LAL,,Calvin Garrett,placed on IL with knee imflammation
38,38,1984-03-02,LAL,Larry Spriggs,,activated from IL
39,39,1984-03-09,IND,Herb Williams,,activated from IL
40,40,1984-03-31,KCK,,Joe Meriweather,placed on IL with sprained left foot
41,41,1984-10-26,KCK,,Ed Nealy,placed on IL with bruised right calf (out 6-8 weeks)
42,42,1984-10-26,LAL,,Earl Jones,placed on IL with right foot sesamoiditis
43,43,1984-10-26,NJN,,Foots Walker,placed on IL with right knee inflammation
44,44,1984-10-26,MIL,,Ricky Pierce,placed on IL
45,45,1984-10-26,CLE,,Lonnie Shelton,placed on IL
46,46,1984-10-26,CLE,,Paul Thompson,placed on IL
47,47,1984-10-26,NJN,,Albert King,placed on IL with back spasms
48,48,1984-10-26,IND,,Clark Kellogg,placed on IL recovering from arthroscopic surgery on left knee
49,49,1984-10-26,SEA,,John Schweitz,placed on IL
50,50,1984-10-26,SEA,,Reggie King,placed on IL
51,51,1984-11-05,CLE,Paul Thompson,,activated from IL
52,52,1984-11-06,ATL,Scott Hastings,,activated from IL
53,53,1984-11-06,DET,,Dan Roundfield,placed on IL with strained left calf muscle
54,54,1984-11-07,CLE,,Ron Anderson,placed on IL with stress fracture in left femur
55,55,1984-11-08,NYK,,Eddie Lee Wilkins,placed on IL with sprained ankle
56,56,1984-11-09,IND,Clark Kellogg,,activated from IL
57,57,1984-11-20,DET,Dan Roundfield,,activated from IL
58,58,1984-11-24,DET,,Kelly Tripucka,placed on IL with pulled hamstring (date approximate)
59,59,1984-11-24,PHO,,Larry Nance,placed on IL
60,60,1984-11-24,PHO,,Rod Foster,placed on IL
61,61,1984-11-27,NYK,,Bill Cartwright,placed on IL with fractured metatarsal bone in left foot
62,62,1984-11-27,NYK,Eddie Lee Wilkins,,activated from IL
63,63,1984-11-27,LAL,,Earl Jones,placed on IL with sprained right ankle & foot inflammation
64,64,1984-12-12,NJN,,Albert King,placed on IL with pulled groin
65,65,1984-12-12,NJN,Tom LaGarde,,activated from IL
66,66,1984-12-14,KCK,,Larry Drew,placed on IL with sprained left foot
67,67,1984-12-18,MIL,Ricky Pierce,,activated from IL
68,68,1984-12-18,NJN,Darryl Dawkins,,activated from IL
69,69,1984-12-21,CLE,,Edgar Jones,placed on IL with calcium deposit in left leg
70,70,1984-12-27,NJN,,Otis Birdsong,placed on IL
71,71,1984-12-29,HOU,,Allen Leavell,placed on IL with right ankle inflammation
72,72,1985-01-10,IND,,Bill Garnett,placed on IL with dislocated finger
73,73,1985-01-14,CHI,,Caldwell Jones,placed on IL with broken left hand
74,74,1985-01-28,CLE,Ron Anderson,,activated from IL
75,75,1985-01-31,PHO,Walter Davis,,activated from IL
76,76,1985-02-07,UTA,,J.J. Anderson,placed on IL with calf injury
77,77,1985-02-12,MIL,,Mike Dunleavy,placed on IL with back injury
78,78,1985-02-12,UTA,Bob Hansen,,activated from IL
79,79,1985-02-13,WSB,,Frank Johnson,placed on IL with fractured fourth metatarsal bone in left foot
80,80,1985-02-17,LAC,,Bill Walton,placed on IL with sore foot
81,81,1985-02-18,NJN,,Mike O'Koren,placed on IL with broken arm
82,82,1985-02-20,BOS,,Cedric Maxwell,placed on IL for arthroscopic surgery on knee
83,83,1985-02-28,LAC,Bill Walton,,activated from IL
84,84,1985-03-02,LAC,,Jay Murphy,placed on IL with torn cartilage in knee
85,85,1985-03-19,PHO,,Larry Nance,placed on IL with pulled groin muscle (out ~7 games)
86,86,1985-03-19,PHO,Mike Sanders,,activated from IL
87,87,1985-03-21,BOS,,M.L. Carr,placed on IL
88,88,1985-03-21,BOS,Cedric Maxwell,,activated from IL
89,89,1985-03-23,NJN,,Otis Birdsong,placed on IL with fractured right hand
90,90,1985-03-25,IND,,Bill Garnett,placed on IL with dislocated finger (out for season)
91,91,1985-03-27,PHO,,Walter Davis,placed on IL
92,92,1985-03-29,PHO,Larry Nance,,activated from IL
93,93,1985-04-08,PHI,,Andrew Toney,placed on IL
94,94,1985-04-08,PHI,Clemon Johnson,,activated from IL
95,95,1985-04-11,MIL,,Kenny Fields,placed on IL with sprained ankle
96,96,1985-10-25,SEA,,Tim McCormick,placed on IL recovering from arthroscopic surgery on right knee
97,97,1985-10-25,MIL,,Charles Davis,placed on IL
98,98,1985-10-25,CLE,,Keith Lee,placed on IL with pulled thigh muscle
99,99,1985-10-25,CLE,,Lonnie Shelton,placed on IL recovering from arthroscopic surgery on left knee
100,100,1985-10-25,NYK,,Bill Cartwright,placed on IL with bruised left foot
101,101,1985-10-25,LAL,,Ronnie Lester,placed on IL with tendinitis in knee
102,102,1985-10-25,PHO,,Nick Vanos,placed on IL
103,103,1985-10-25,CHI,,Quintin Dailey,placed on IL during drug rehab
104,104,1985-10-29,SAS,,Tyrone Corbin,placed on IL with sprained knee
105,105,1985-10-29,PHO,,Bernard Thompson,placed on IL with stress fracture in left ankle
106,106,1985-10-31,ATL,,Doc Rivers,placed on IL with broken bone in right wrist (date approximate)
107,107,1985-11-05,CHI,,Michael Jordan,placed on IL with fractured navicular tarsal bone in left foot
108,108,1985-11-06,SEA,Tim McCormick,,activated from IL
109,109,1985-11-11,MIL,Charles Davis,,activated from IL
110,110,1985-11-12,LAL,,Byron Scott,placed on IL with strained left hamstring
111,111,1985-11-19,CHI,Quintin Dailey,,activated from IL
112,112,1985-11-22,LAL,Byron Scott,,activated from IL
113,113,1985-12-04,PHI,,Sedale Threatt,placed on IL with pulled abdominal muscle
114,114,1985-12-04,ATL,Doc Rivers,,activated from IL
115,115,1985-12-05,PHI,,Voise Winters,waived
116,116,1985-12-10,CLE,Lonnie Shelton,,activated form IR
117,117,1985-12-10,PHO,Bernard Thompson,,activated from IL
118,118,1985-12-14,CLE,Keith Lee,,activated from IL
119,119,1985-12-17,PHI,Sedale Threatt,,activated from IL
120,120,1985-12-17,LAC,Derek Smith,,activated from IL
121,121,1985-12-17,SAC,,Otis Thorpe,placed on IL with strained ligament in knee
122,122,1985-12-29,SEA,Frank Brickowski,,activated from IL
123,123,1986-01-03,DAL,,Charlie Sitton,placed on IL
124,124,1986-01-05,LAC,,Derek Smith,placed on IL with sore left knee
125,125,1986-01-17,WSB,Jeff Ruland,,activated from IL
126,126,1986-02-15,UTA,,Jeff Cook,placed on IL
127,127,1986-02-22,CHI,,Jawann Oldham,placed on IL with broken left cheekbone
128,128,1986-02-27,MIL,,Earl Jones,placed on IL with stress fracture in right foot
129,129,1986-03-05,CHI,,Dave Corzine,placed on IL with broken left hand
130,130,1986-03-05,CHI,Jawann Oldham,,activated from IL
131,131,1986-03-14,CHI,,Jawann Oldham,placed on IL with re-injured left cheekbone
132,132,1986-03-14,CHI,Michael Jordan,,activated from IL
133,133,1986-04-05,PHI,,Moses Malone,placed on IL
134,134,1986-04-05,PHI,Bobby Jones,,"""activated"""
135,135,1986-04-09,MIL,,Derrick Rowland,placed on IL recovering from arthroscopic surgery on knee (date approxiomate)
136,136,1986-04-10,UTA,Jeff Cook,,activated from IL
137,137,1986-04-13,CHI,Jawann Oldham,,activated from IL
138,138,1986-10-31,SAC,,Franklin Edwards,placed on IL with fractured right foot
139,139,1986-10-31,PHO,,William Bedford,placed on IL recovering from surgery on right knee to remove bone chips (date approximate)
140,140,1986-10-31,MIL,,Chris Engler,placed on IL
141,141,1986-10-31,WSB,,Ennis Whatley,placed on IL with sprained right thumb
142,142,1986-10-31,WSB,,Jay Vincent,placed on IL with ruptured tendon in right ring finger
143,143,1986-10-31,CHI,,Gene Banks,placed on IL with broken right foot
144,144,1986-10-31,BOS,,Scott Wedman,placed on IL
145,145,1986-10-31,ATL,,Antoine Carr,placed on IL
146,146,1986-10-31,HOU,,Ralph Sampson,placed on IL with sprained ankle
147,147,1986-10-31,SEA,,Nate McMillan,placed on IL
148,148,1986-10-31,NYK,,Jawann Oldham,placed on IL with sore hip
149,149,1986-11-01,PHO,,Bernard Thompson,placed on IL with stress fracture in left shin
150,150,1986-11-02,LAC,,Darnell Valentine,placed on IL with broken left hand (date approximate)
151,151,1986-11-07,LAL,,Pétur Guðmundsson,placed on IL
152,152,1986-11-11,MIL,Scott Skiles,,activated from IL
153,153,1986-11-11,BOS,,Bill Walton,placed on IL
154,154,1986-11-11,BOS,Danny Ainge,,activated from IL
155,155,1986-11-16,HOU,Ralph Sampson,,activated from IL
156,156,1986-11-18,MIL,,Scott Skiles,placed on IL with sprained ankle
157,157,1986-11-18,BOS,Danny Ainge,,activated from IL
158,158,1986-11-20,NJN,,Darryl Dawkins,placed on IL with back injury
159,159,1986-11-20,NJN,Pace Mannion,,activated from IL
160,160,1986-11-21,GSW,,Purvis Short,placed on IL with sore left knee
161,161,1986-11-21,GSW,Ben McDonald,,activated from IL
162,162,1986-11-25,BOS,Scott Wedman,,activated from IL
163,163,1986-11-26,CLE,,Scooter McCray,placed on IL with sore knee
164,164,1986-11-26,CLE,Phil Hubbard,,activated from IL
165,165,1986-11-28,PHO,,James Edwards,placed on IL with left heel tendinitis
166,166,1986-11-28,PHO,William Bedford,,activated from IL
167,167,1986-12-02,LAC,Darnell Valentine,,activated
168,168,1986-12-09,CHI,Gene Banks,,activated from IL
169,169,1986-12-09,HOU,,Robert Reid,placed on IL recovering from arthroscopic surgery on right knee
170,170,1986-12-09,CLE,Scooter McCray,,activated from IL
171,171,1986-12-11,BOS,,Scott Wedman,placed on IL with sore left heel (date approximate)
172,172,1986-12-16,SEA,Terence Stansbury,,activated from IL
173,173,1986-12-29,IND,,Ron Anderson,placed on IL with sprained left knee
174,174,1987-01-01,IND,,Herb Williams,placed on IL with bruised ribs
175,175,1987-01-05,PHI,,Andrew Toney,placed on IL with sore foot
176,176,1987-01-07,DET,,Rick Mahorn,placed on IL
177,177,1987-01-08,MIL,,Paul Pressey,placed on IL recovering from surgery on right ring finger to repair partially divided tendon (out 4-5 weeks) (date approximate)
178,178,1987-01-09,MIL,,Paul Pressey,placed on IL recovering from surgery on right ring finger to repair partially divided tendon
179,179,1987-01-09,CHI,,Sedale Threatt,placed on IL with broken right ring finger
180,180,1987-01-10,IND,Herb Williams,,activated from IL
181,181,1987-01-12,CLE,,Mark Price,placed on IL with appendectomy
182,182,1987-01-15,SAC,Franklin Edwards,,activated from IL
183,183,1987-01-21,NYK,Kenny Walker,,activated from IL
184,184,1987-01-22,IND,Ron Anderson,,activated from IL
185,185,1987-01-23,PHI,,Kenny Green,placed on IL with ankle injury
186,186,1987-01-23,PHI,Andrew Toney,,activated from IL
187,187,1987-01-23,CLE,,John Bagley,placed on IL with sprained left ankle
188,188,1987-01-27,GSW,,Chris Washburn,placed on IL
189,189,1987-01-27,GSW,Purvis Short,,activated from IL
190,190,1987-01-28,PHI,,Jeff Ruland,placed on IL recovering from arthroscopic surgery on left knee
191,191,1987-02-01,SAC,,Albert King,placed on IL with right foot injury
192,192,1987-02-02,PHI,Kenny Green,,activated from IL
193,193,1987-02-11,MIL,,Keith Smith,placed on IL
194,194,1987-02-11,MIL,Paul Pressey,,activated from IL
195,195,1987-02-13,CHI,Sedale Threatt,,activated from IL
196,196,1987-02-13,ATL,,Scott Hastings,placed on IL with knee injury
197,197,1987-02-13,ATL,,Tree Rollins,placed on IL with fractured big toe
198,198,1987-02-14,MIL,Sidney Moncrief,,activated from IL
199,199,1987-03-05,PHO,,Grant Gondrezick,placed on IL with sore knee
200,200,1987-03-05,PHO,Bernard Thompson,,activated from IL
201,201,1987-03-17,MIL,,Marvin Webster,placed on suspended list
202,202,1987-03-17,MIL,Dudley Bradley,,activated from IL
203,203,1987-03-21,NYK,,Patrick Ewing,placed on IL with sprained left knee
204,204,1987-03-23,PHO,,William Bedford,placed on IL with weakness in right knee
205,205,1987-03-26,GSW,,Purvis Short,placed on IL with pulled thigh muscle
206,206,1987-03-31,BOS,,Rick Carlisle,placed on IL
207,207,1987-03-31,BOS,Sam Vincent,,activated
208,208,1987-03-31,WSB,,Frank Johnson,placed on IL
209,209,1987-03-31,WSB,Dan Roundfield,,"""activated"""
210,210,1987-04-03,MIL,,Junior Bridgeman,placed on IL
211,211,1987-04-03,SEA,,Alton Lister,placed on IL with broken bone in foot
212,212,1987-04-19,POR,,Ron Rowan,placed on IL
213,213,1987-04-19,POR,Ken Johnson,,activated
214,214,1987-11-06,LAC,,Lancaster Gordon,placed on IL recovering from arthroscopic surgery on right knee
215,215,1987-11-06,PHO,,Bernard Thompson,placed on IL with stress fracture in foot (date approximate)
216,216,1987-11-06,PHO,,Larry Nance,placed on IL with broken right hand (date approximate)
217,217,1987-11-06,BOS,,Bill Walton,placed on IL recovering from surgery on foot (date approximate)
218,218,1987-11-06,BOS,,Kevin McHale,placed on IL recovering from surgery on foot (date approximate)
219,219,1987-11-06,SAC,,Franklin Edwards,placed on IL with sprained right ankle
220,220,1987-11-06,NYK,,Louis Orr,placed on IL recovering from back surgery
221,221,1987-11-06,DAL,,Brad Davis,placed on IL
222,222,1987-11-06,POR,,Jim Paxson,placed on IL recovering from surgery on toe
223,223,1987-11-06,POR,,Ronnie Murphy,placed on IL
224,224,1987-11-06,POR,,Sam Bowie,placed on IL with broken bone in right leg
225,225,1987-11-06,DEN,,Maurice Martin,placed on IL
226,226,1987-11-06,DEN,,Mike Evans,placed on IL
227,227,1987-11-06,GSW,,Kevin Henderson,placed on IL
228,228,1987-11-12,MIL,,Dudley Bradley,placed on IL with bruised left thigh
229,229,1987-11-12,SAS,,Mike Mitchell,placed on IL recovering from arthroscopic surgery on knee
230,230,1987-11-13,IND,,Herb Williams,placed on IL with bruised lower left leg
231,231,1987-11-14,IND,Brian Rowsom,,activated from IL
232,232,1987-11-15,PHO,,Armen Gilliam,placed on IL with broken left big toe
233,233,1987-11-15,PHO,Winston Crite,,activated from IL
234,234,1987-11-20,GSW,,Larry Smith,placed on IL
235,235,1987-11-20,GSW,Kevin Henderson,,activated from IL
236,236,1987-11-24,SAC,,Michael Jackson,placed on IL
237,237,1987-11-24,SAC,Franklin Edwards,,activated from IL
238,238,1987-11-24,IND,Herb Williams,,activated from IL
239,239,1987-11-24,GSW,,Terry Teagle,placed on IL
240,240,1987-11-25,SAC,,Kenny Smith,placed on IL
241,241,1987-11-25,GSW,Chris Washburn,,activated from IL
242,242,1987-11-30,MIL,,Jerry Reynolds,placed on IL with left ankle injury
243,243,1987-11-30,MIL,Dudley Bradley,,activated from IL
244,244,1987-11-30,BOS,Kevin McHale,,activated from IL
245,245,1987-11-30,NYK,,Bob Thornton,placed on IL with sprained left ankle
246,246,1987-11-30,NYK,,Trent Tucker,placed on IL with sprained knee
247,247,1987-11-30,NYK,Ray Tolbert,,activated from IL
248,248,1987-12-01,SAS,Mike Mitchell,,activated from IL
249,249,1987-12-01,PHO,,Eddie Johnson,placed on IL with pulled right calf muscle
250,250,1987-12-01,PHO,Larry Nance,,activated from IL
251,251,1987-12-04,MIL,,Larry Krystkowiak,placed on IL with sprained left ankle
252,252,1987-12-05,HOU,Robert Reid,,activated from IL
253,253,1987-12-08,IND,Scott Skiles,,activated from IL
254,254,1987-12-09,PHI,Andrew Toney,,activated from IL
255,255,1987-12-09,NYK,Bob Thornton,,activated from IL
256,256,1987-12-10,PHO,,Walter Davis,placed on IL
257,257,1987-12-10,PHO,Eddie Johnson,,activated from IL
258,258,1987-12-13,LAL,,Jeff Lamp,placed on IL recovering from surgery on shoulder
259,259,1987-12-13,GSW,,Chris Mullin,placed on IL
260,260,1987-12-16,MIL,,Pace Mannion,placed on IL with sprained knee (date approximate)
261,261,1987-12-16,NYK,Louis Orr,,activated from IL
262,262,1987-12-17,BOS,,Greg Kite,placed on IL with strained lower back
263,263,1987-12-18,POR,Ronnie Murphy,,activated from IL
264,264,1987-12-26,MIL,Pace Mannion,,activated from IL
265,265,1987-12-29,CLE,Ron Harper,,activated from IL
266,266,1988-01-01,IND,,Scott Skiles,placed on IL
267,267,1988-01-02,MIL,,John Stroeder,placed on IL with tendinitis in both knees
268,268,1988-01-02,MIL,Larry Krystkowiak,,activated from IL
269,269,1988-01-06,PHO,Armen Gilliam,,activated from IL
270,270,1988-01-07,PHO,,Winston Crite,placed on IL
271,271,1988-01-08,BOS,,Greg Kite,placed on IL
272,272,1988-01-08,NJN,,Mike O'Koren,placed on IL
273,273,1988-01-08,NJN,Kevin McKenna,,activated from IL
274,274,1988-01-09,LAC,,Reggie Williams,placed on IL with strained biceps tendon and strained collateral ligament in left knee
275,275,1988-01-14,MIL,,Larry Krystkowiak,placed on IL with tendinitis in foot
276,276,1988-01-17,POR,,Kiki Vandeweghe,placed on IL with strained lower back
277,277,1988-01-18,MIL,John Stroeder,,activated from IL
278,278,1988-01-18,SAC,Derek Smith,,activated from IL
279,279,1988-01-22,MIL,Larry Krystkowiak,,activated from IL
280,280,1988-01-22,WSB,,Jay Murphy,placed on IL
281,281,1988-01-22,WSB,Darrell Walker,,activated from IL
282,282,1988-01-28,POR,,Steve Johnson,placed on IL recovering from surgery on thumb
283,283,1988-01-30,CLE,,Johnny Rogers,placed on IL with sprained left ankle
284,284,1988-01-30,CLE,Kent Benson,,activated from IL
285,285,1988-01-30,LAC,Lancaster Gordon,,activated from IL
286,286,1988-02-01,IND,Scott Skiles,,activated from IL
287,287,1988-02-02,POR,Kiki Vandeweghe,,activated from IL
288,288,1988-02-12,PHI,,Cliff Robinson,placed on IL
289,289,1988-02-14,GSW,Larry Smith,,activated from IL
290,290,1988-02-17,SAS,Dave Greenwood,,activated from IL
291,291,1988-02-17,PHO,,Bernard Thompson,placed on IL
292,292,1988-02-17,PHO,Winston Crite,,activated from IL
293,293,1988-02-23,CLE,,Kent Benson,placed on IL with elbow inflammation
294,294,1988-02-23,CLE,Johnny Rogers,,activated from IL
295,295,1988-02-26,LAC,Reggie Williams,,activated from IL
296,296,1988-02-26,PHO,,Craig Hodges,placed on IL with sore right Achilles tendon
297,297,1988-02-27,NJN,,Orlando Woolridge,placed on restricted list (player admitted to cocaine addiction and entered drug rehab clinic)
298,298,1988-02-29,POR,,Kiki Vandeweghe,placed on IL with strained lower back
299,299,1988-03-02,PHI,,Andrew Toney,placed on IL with recurring foot injury
300,300,1988-03-02,NYK,,Rick Carlisle,placed on IL
301,301,1988-03-03,POR,Steve Johnson,,activated from IL
302,302,1988-03-03,LAC,,Joe Wolf,placed on IL
303,303,1988-03-12,MIL,Larry Krystkowiak,,activated from IL
304,304,1988-03-19,LAC,,Reggie Williams,placed on IL with sprained ligament in right knee
305,305,1988-03-19,LAC,Martin Nessley,,activated from IL
306,306,1988-03-24,NYK,Pat Cummings,,activated from IL
307,307,1988-03-28,NYK,Rick Carlisle,,activated from IL
308,308,1988-03-30,LAL,,Billy Thompson,placed on IL
309,309,1988-04-01,SAC,,LaSalle Thompson,placed on IL with torn lateral meniscus in right knee (out for season)
310,310,1988-04-02,PHO,Jeff Cook,,activated from IL
311,311,1988-04-05,PHO,,Jeff Cook,placed on IL with elbow and back injuries
312,312,1988-04-05,PHO,Bernard Thompson,,activated from IL
313,313,1988-11-04,UTA,,Bob Hansen,placed on IL with broken left hand (date approximate)
314,314,1988-11-04,DEN,,Bill Hanzlik,placed on IL with back injury
315,315,1988-11-04,DEN,,Calvin Natt,placed on IL
316,316,1988-11-04,DEN,,Maurice Martin,placed on IL recovering from surgery on right knee
317,317,1988-11-04,CHI,,Charles Davis,placed on IL
318,318,1988-11-04,CHI,,Scottie Pippen,placed on IL
319,319,1988-11-04,CLE,,Gary Voce,placed on IL
320,320,1988-11-04,DAL,,Detlef Schrempf,placed on IL
321,321,1988-11-04,IND,,John Long,placed on IL
322,322,1988-11-04,IND,,Steve Stipanovich,placed on IL recovering from arthroscopic surgery on left knee
323,323,1988-11-18,CHI,Scottie Pippen,,activated from IL
324,324,1988-11-21,MIL,,Jay Humphries,placed on IL
325,325,1988-11-21,MIL,Jeff Grayer,,activated from IL
326,326,1988-11-25,PHO,Winston Crite,,activated from IL
327,327,1988-11-29,CHI,Charles Davis,,activated from IL
328,328,1988-11-29,HOU,,Bernard Thompson,placed on IL
329,329,1988-11-29,HOU,Purvis Short,,activated from IL
330,330,1988-12-01,MIL,,Jeff Grayer,placed on IL
331,331,1988-12-01,MIL,Jay Humphries,,activated from IL
332,332,1988-12-08,LAC,Charles Smith,,activarted from IL
333,333,1988-12-13,UTA,Bob Hansen,,activated from IL
334,334,1988-12-13,DAL,Roy Tarpley,,activated
335,335,1988-12-13,NJN,,Walter Berry,placed on IL
336,336,1988-12-13,NJN,Keith Lee,,activated from IL
337,337,1988-12-13,DEN,,Jay Vincent,placed on IL
338,338,1988-12-13,DEN,Calvin Natt,,activated from IL
339,339,1988-12-15,PHI,Ben Coleman,,activated from IL
340,340,1988-12-16,MIL,Jeff Grayer,,activated from IL
341,341,1988-12-16,CHH,,Rex Chapman,placed on IL with strained back
342,342,1988-12-16,CHH,Dell Curry,,activated from IL
343,343,1988-12-25,MIA,Pearl Washington,,activated from IL
344,344,1988-12-27,POR,,Craig Neal,placed on IL with injuries suffered in car accident
345,345,1988-12-27,POR,Jerry Sichting,,activated from IL
346,346,1988-12-27,PHO,,Dan Majerle,placed on IL
347,347,1988-12-28,NJN,,Keith Lee,placed on IL
348,348,1989-01-02,MIA,,Sylvester Gray,placed on IL recovering from surgery on thumb
349,349,1989-01-02,SAS,,Johnny Dawkins,placed on IL with nerve damage in left leg (date approximate)
350,350,1989-01-02,DEN,,Jay Vincent,placed on IL with swollen foot
351,351,1989-01-03,POR,,Rolando Ferreira,placed on IL
352,352,1989-01-03,POR,Kiki Vandeweghe,,activated from IL
353,353,1989-01-12,DET,,Joe Dumars,placed on IL with broken middle finger on left hand
354,354,1989-01-14,HOU,,Buck Johnson,placed on IL with deep thigh bruise (date approximate)
355,355,1989-01-27,GSW,Ralph Sampson,,activated from IL
356,356,1989-02-07,NJN,,John Bagley,placed on IL
357,357,1989-02-09,POR,Sam Bowie,,activated from IL
358,358,1989-02-14,ATL,,Dudley Bradley,placed on IL with swollen knee
359,359,1989-02-14,HOU,Buck Johnson,,activated from IL
360,360,1989-02-24,MIA,Sylvester Gray,,activated from IL
361,361,1989-03-03,NYK,Pete Myers,,activated from IL
362,362,1989-03-03,PHO,,Eddie Johnson,placed on IL
363,363,1989-03-03,PHO,Steve Kerr,,activated from IL
364,364,1989-03-04,GSW,,John Starks,placed on IL
365,365,1989-03-04,GSW,Ben McDonald,,activated from IL
366,366,1989-03-07,SAS,Johnny Dawkins,,activated from IL
367,367,1989-03-09,BOS,,Ramón Rivas,placed on IL with back spasms
368,368,1989-03-10,MIL,,Mark Davis,placed on IL with strained lower back (date approximate)
369,369,1989-03-10,MIL,,Tito Horford,placed on IL with hammer toes on left foot
370,370,1989-03-21,MIL,,Paul Pressey,placed on IL with sprained ankle
371,371,1989-03-21,MIL,Mark Davis,,activated from IL
372,372,1989-03-22,MIA,,Pat Cummings,placed on IL with stress fracture of left tibia
373,373,1989-04-05,POR,,Clinton Wheeler,placed on IL
374,374,1989-04-05,POR,,Danny Young,placed on IL
375,375,1989-04-05,LAC,Reggie Williams,,activated from IL
376,376,1989-04-10,POR,,Mark Bryant,placed on IL
377,377,1989-04-10,POR,Jerry Sichting,,activated from IL
378,378,1989-04-16,CHI,,Craig Hodges,placed on IL
379,379,1989-04-20,PHI,,Bob Thornton,placed on IL (date approximate)
380,380,1989-04-23,CHI,Craig Hodges,,activated from IL
381,381,1989-11-03,CHI,,Jeff Sanders,placed on IL
382,382,1989-11-24,BOS,,John Bagley,placed on IL
383,383,1989-11-25,SAC,,Ralph Sampson,placed on IL for rehabilitation of knees
384,384,1989-11-27,PHI,,Lanard Copeland,placed on IL
385,385,1989-11-27,MIL,Paul Pressey,,activated from IL
386,386,1989-12-01,NJN,Roy Hinson,,activated from IL
387,387,1989-12-05,CLE,,John Morton,placed on IL
388,388,1989-12-14,LAL,Orlando Woolridge,,activated from IL
389,389,1989-12-14,HOU,,Tim McCormick,placed on IL
390,390,1989-12-14,HOU,Chuck Nevitt,,activated from IL
391,391,1989-12-16,SAC,,Pervis Ellison,placed on IL after doctor prescribed rest
392,392,1989-12-19,CHI,Jeff Sanders,,activated from IL
393,393,1989-12-23,MIN,Scott Roth,,activated from IL
394,394,1990-01-02,CLE,,Tree Rollins,placed on IL with sprained left knee
395,395,1990-01-02,CLE,John Morton,,activated from IL
396,396,1990-01-02,ORL,,Jerry Reynolds,placed on IL
397,397,1990-01-02,ORL,Morlon Wiley,,activated from IL
398,398,1990-01-04,ATL,,Cliff Levingston,placed on IL
399,399,1990-01-06,BOS,John Bagley,,activated from IL
400,400,1990-01-06,ATL,,John Battle,placed on IL
401,401,1990-01-10,PHI,,Kenny Payne,placed on IL with shin splints
402,402,1990-01-10,CLE,,Winston Bennett,placed on IL with sore left thigh
403,403,1990-01-11,MIN,,Steve Johnson,placed on IL with stomach ulcer
404,404,1990-01-13,CLE,Tree Rollins,,activated from IL
405,405,1990-01-13,SAC,Ralph Sampson,,activated from IL
406,406,1990-01-17,LAC,,Ron Harper,placed on IL with torn ACL in knee
407,407,1990-01-17,LAC,Jay Edwards,,activated from IL
408,408,1990-01-22,PHI,Kenny Payne,,activated from IL
409,409,1990-01-22,PHI,Lanard Copeland,,activated from IL
410,410,1990-01-26,IND,,Calvin Natt,placed on IL
