,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Draft Pick,Rating,Team
88,David Andersen,2010,2011,C,6-11,245,"June 23, 1980",,37,0,n
89,Alan Anderson,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State,0,0,n
91,Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",Memphis,0,0,n
95,Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974","Ohio State, Kentucky",13,0,n
96,Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960","Kentucky, USC",41,0,n
97,Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",Indiana,0,0,n
98,Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",Houston,23,0,n
99,J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley,36,0,n
100,James Anderson,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State,20,0,n
102,Justin Anderson,2016,2022,G,6-6,230,"November 19, 1993",Virginia,21,0,n
103,Kenny Anderson,1992,2005,G,6-1,168,"October 9, 1970",Georgia Tech,2,0,n
105,Kyle Anderson,2015,2025,F-G,6-9,230,"September 20, 1993",UCLA,30,0,n
106,Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",Drexel,73,0,n
107,Nick Anderson,1990,2002,F-G,6-6,205,"January 20, 1968",Illinois,11,0,n
108,Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960",UC Santa Barbara,32,0,n
109,Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958",Fresno State,27,0,n
110,Ryan Anderson,2009,2020,F,6-9,240,"May 6, 1988",California,21,0,n
111,Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",Georgia,54,0,n
112,Willie Anderson,1989,1997,G-F,6-7,190,"January 8, 1967",Georgia,10,0,n
114,Martynas Andriuškevičius,2006,2006,C,7-2,240,"March 12, 1986",,44,0,n
116,Ike Anigbogu,2018,2019,F-C,6-10,250,"October 17, 1998",UCLA,47,0,n
117,Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",Alabama,37,0,n
118,Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975",,18,0,n
119,Giannis Antetokounmpo,2014,2025,F-G,6-11,242,"December 6, 1994",,15,0,n
120,Kostas Antetokounmpo,2019,2021,F,6-10,200,"November 20, 1997",Dayton,60,0,n
121,Thanasis Antetokounmpo,2016,2024,F,6-7,219,"July 18, 1992",,51,0,n
122,Carmelo Anthony,2004,2022,F,6-7,238,"May 29, 1984",Syracuse,3,0,n
123,Cole Anthony,2021,2025,G,6-2,185,"May 15, 2000",UNC,15,0,n
124,Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Portland, UNLV",12,0,n
125,Joel Anthony,2008,2017,C,6-9,245,"August 9, 1982",UNLV,0,0,n
126,Pero Antić,2014,2015,C-F,6-11,260,"July 29, 1982",,0,0,n
127,OG Anunoby,2018,2025,F,6-7,232,"July 17, 1997",Indiana,23,0,n
128,Keith Appling,2016,2016,G,6-1,185,"February 13, 1992",Michigan State,0,0,n
129,Rafael Araújo,2005,2007,C,6-11,280,"August 12, 1980",BYU,8,0,n
131,Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",Illinois,32,0,n
132,Tiny Archibald,1971,1984,G,6-1,150,"September 2, 1948","Arizona Western College, Texas-El Paso",19,0,n
133,Ryan Arcidiacono,2018,2024,G,6-3,195,"March 26, 1994",Villanova,0,0,n
135,Gilbert Arenas,2002,2012,G,6-4,191,"January 6, 1982",Arizona,31,0,n
136,Trevor Ariza,2005,2022,F,6-8,215,"June 30, 1985",UCLA,43,0,n
138,Joe Arlauckas,1988,1988,F,6-9,230,"July 20, 1965",Niagara University,74,0,n
139,B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",Iowa,18,0,n
141,Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine,23,0,n
143,Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University,0,0,n
144,Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",UConn,12,0,n
149,Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University,0,0,n
150,Darrell Arthur,2009,2018,F,6-9,235,"March 25, 1988",Kansas,27,0,n
152,Jamel Artis,2018,2018,G-F,6-7,213,"January 12, 1993",Pitt,0,0,n
153,Ömer Aşık,2011,2018,C,7-0,255,"July 4, 1986",,36,0,n
154,Vincent Askew,1988,1998,G-F,6-6,210,"February 28, 1966",Memphis,39,0,n
155,Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",Alabama,0,0,n
158,Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",South Florida,0,0,n
161,Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968",UNLV,9,0,n
162,D.J. Augustin,2009,2022,G,5-11,183,"November 10, 1987",Texas,9,0,n
163,James Augustine,2007,2008,F,6-10,235,"February 27, 1984",Illinois,41,0,n
164,Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State,48,0,n
166,Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University,101,0,n
167,Deni Avdija,2021,2025,G-F,6-9,210,"January 3, 2001",,9,0,n
168,Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall,15,0,n
170,William Avery,2000,2002,G,6-2,197,"August 8, 1979",Duke,14,0,n
172,Joel Ayayi,2022,2022,G,6-5,180,"March 5, 2000",Gonzaga,0,0,n
173,Gustavo Ayón,2012,2014,C,6-10,250,"April 1, 1985",,0,0,n
174,Jeff Ayres,2010,2016,F,6-9,240,"April 29, 1987",Arizona State,31,0,n
175,Deandre Ayton,2019,2025,C,7-0,250,"July 23, 1998",Arizona,1,0,n
176,Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",Kentucky,0,0,n
177,Udoka Azubuike,2021,2024,C,6-10,280,"September 17, 1999",Kansas,27,0,n
0,Chris Babb,2014,2014,G,6-5,225,"February 14, 1990","Penn State, Iowa State",0,0,n
1,Luke Babbitt,2011,2018,F,6-9,225,"June 20, 1989",Nevada,16,0,n
2,Miloš Babić,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University,50,0,n
4,Dwayne Bacon,2018,2021,G,6-6,221,"August 30, 1995",Florida State,40,0,n
6,Ibou Badji,2024,2024,C,7-1,240,"October 13, 2002",,0,0,n
8,Dalibor Bagarić,2001,2003,C,7-1,255,"February 7, 1980",,24,0,n
9,John Bagley,1983,1994,G,6-0,185,"April 23, 1960",Boston College,12,0,n
10,Marvin Bagley III,2019,2025,F-C,6-10,235,"March 14, 1999",Duke,2,0,n
11,Amari Bailey,2024,2024,G,6-5,185,"February 17, 2004",UCLA,41,0,n
14,James Bailey,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University,6,0,n
15,Thurl Bailey,1984,1999,F-C,6-11,215,"April 7, 1961",NC State,7,0,n
16,Toby Bailey,1999,2000,G,6-6,213,"November 19, 1975",UCLA,45,0,n
17,Cameron Bairstow,2015,2016,F-C,6-9,250,"December 7, 1990",New Mexico,49,0,n
19,Mark Baker,1999,1999,G,6-1,175,"November 11, 1969",Ohio State,0,0,n
20,Maurice Baker,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State,0,0,n
22,Ron Baker,2017,2019,G,6-4,220,"March 30, 1993",Wichita State,0,0,n
23,Vin Baker,1994,2006,F-C,6-11,232,"November 23, 1971",University of Hartford,8,0,n
24,Patrick Baldwin Jr.,2023,2025,G-F,6-9,220,"November 18, 2002",UW-Milwaukee,28,0,n
25,Wade Baldwin,2017,2019,G,6-4,200,"March 29, 1996",Vanderbilt,17,0,n
26,Renaldo Balkman,2007,2012,F,6-8,208,"July 14, 1984",South Carolina,20,0,n
27,Cedric Ball,1991,1991,F,6-8,210,"April 16, 1968",UNC Charlotte,0,0,n
28,LaMelo Ball,2021,2025,G,6-7,180,"August 22, 2001",,3,0,n
29,Lonzo Ball,2018,2025,G,6-6,190,"October 27, 1997",UCLA,2,0,n
30,Greg Ballard,1978,1989,F,6-7,215,"January 29, 1955",Oregon,4,0,n
32,Mo Bamba,2019,2025,C,7-0,231,"May 12, 1998",Texas,6,0,n
33,Paolo Banchero,2023,2025,F,6-10,250,"November 12, 2002",Duke,1,0,n
34,Desmond Bane,2021,2025,G,6-5,215,"June 25, 1998",TCU,30,0,n
35,Gene Banks,1982,1987,F-G,6-7,215,"May 15, 1959",Duke,28,0,n
36,Marcus Banks,2004,2011,G,6-2,200,"November 19, 1981","Dixie State (UT), UNLV",13,0,n
38,Ken Bannister,1985,1991,F-C,6-9,235,"April 1, 1960","Indiana State University, Saint Augustine's College",156,0,n
40,Dalano Banton,2022,2025,G-F,6-9,204,"November 7, 1999",Nebraska,46,0,n
41,Cat Barber,2022,2022,G,6-2,190,"July 25, 1994",NC State,0,0,n
43,Leandro Barbosa,2004,2017,G,6-3,194,"November 28, 1982",,28,0,n
44,Steve Bardo,1992,1996,G,6-5,190,"April 5, 1968",Illinois,41,0,n
45,J.J. Barea,2007,2020,G,5-10,180,"June 26, 1984",Northeastern University,0,0,n
46,Andrea Bargnani,2007,2016,F-C,7-0,245,"October 26, 1985",,1,0,n
49,Charles Barkley,1985,2000,F,6-6,252,"February 20, 1963",Auburn,5,0,n
50,Erick Barkley,2001,2002,G,6-1,177,"February 21, 1978",St. John's,28,0,n
52,Dominick Barlow,2023,2025,F,6-9,221,"May 26, 2003",,0,0,n
53,Harrison Barnes,2013,2025,F,6-8,225,"May 30, 1992",UNC,7,0,n
57,Matt Barnes,2004,2017,F,6-7,226,"March 9, 1980",UCLA,46,0,n
58,Scottie Barnes,2022,2025,G-F,6-7,227,"August 1, 2001",Florida State,4,0,n
68,Andre Barrett,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall,0,0,n
71,RJ Barrett,2020,2025,G-F,6-6,214,"June 14, 2000",Duke,3,0,n
72,Earl Barron,2006,2015,C,7-0,250,"August 14, 1981",Memphis,0,0,n
73,Dana Barros,1990,2004,G,5-11,163,"April 13, 1967",Boston College,16,0,n
74,Brent Barry,1996,2009,G,6-6,185,"December 31, 1971",Oregon State,15,0,n
75,Drew Barry,1998,2000,G,6-5,191,"February 17, 1973",Georgia Tech,57,0,n
76,Jon Barry,1993,2006,G,6-4,195,"July 25, 1969","University of the Pacific, Georgia Tech",21,0,n
80,Will Barton,2013,2023,G,6-5,181,"January 6, 1991",Memphis,40,0,n
81,Eddie Basden,2006,2006,G,6-5,215,"February 15, 1983",UNC Charlotte,0,0,n
83,Brandon Bass,2006,2017,F,6-8,250,"April 30, 1985",LSU,33,0,n
84,Paris Bass,2022,2022,F,6-8,200,"August 29, 1995",Detroit Mercy,0,0,n
86,Charles Bassey,2022,2025,C,6-10,235,"October 28, 2000",Western Kentucky,53,0,n
87,Maceo Baston,2003,2009,F,6-9,215,"May 29, 1975",Michigan,58,0,n
88,Mengke Bateer,2002,2004,C,6-11,290,"November 20, 1975",,0,0,n
89,Billy Ray Bates,1980,1983,G,6-4,210,"May 31, 1956",Kentucky State University,47,0,n
90,Emoni Bates,2024,2024,G,6-10,170,"January 28, 2004","Memphis, Eastern Michigan",49,0,n
91,Keita Bates-Diop,2019,2024,F,6-8,229,"January 23, 1996",Ohio State,48,0,n
92,Esteban Batista,2006,2007,F-C,6-10,270,"September 2, 1983",,0,0,n
93,Mike Batiste,2003,2003,F,6-8,225,"November 21, 1977",Arizona State,0,0,n
94,Tony Battie,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech,5,0,n
95,Shane Battier,2002,2014,F,6-8,220,"September 9, 1978",Duke,6,0,n
96,Jamison Battle,2025,2025,F,6-7,220,"May 10, 2001","George Washington, Minnesota, Ohio State",0,0,n
97,John Battle,1986,1995,G,6-2,175,"November 9, 1962",Rutgers University,84,0,n
98,Kenny Battle,1990,1993,F,6-6,210,"October 10, 1964","Northern Illinois, Illinois",27,0,n
99,Dave Batton,1983,1984,C,6-10,240,"March 26, 1956",Notre Dame,62,0,n
101,Nicolas Batum,2009,2025,F-G,6-8,230,"December 14, 1988",,25,0,n
104,Lonny Baxter,2003,2006,F,6-8,260,"January 27, 1979",Maryland,44,0,n
105,Jerryd Bayless,2009,2019,G,6-3,200,"August 20, 1988",Arizona,11,0,n
108,Aron Baynes,2013,2021,C,6-10,260,"December 9, 1986",Washington State,0,0,n
109,Sergei Bazarevich,1995,1995,G,6-2,168,"March 16, 1965",,0,0,n
110,Kent Bazemore,2013,2022,G-F,6-4,195,"July 1, 1989",Old Dominion,0,0,n
111,Darius Bazley,2020,2024,F,6-8,208,"June 12, 2000",,23,0,n
113,Bradley Beal,2013,2025,G,6-4,207,"June 28, 1993",Florida,3,0,n
118,Jerome Beasley,2004,2004,F,6-10,237,"May 17, 1980","Midland College, University of North Dakota",33,0,n
120,Malik Beasley,2017,2025,G,6-4,187,"November 26, 1996",Florida State,19,0,n
121,Michael Beasley,2009,2019,F,6-9,235,"January 9, 1989",Kansas State,2,0,n
123,Rodrigue Beaubois,2010,2013,G,6-0,170,"February 24, 1988",,25,0,n
124,MarJon Beauchamp,2023,2025,G,6-6,199,"October 12, 2000",Yakima Valley Community College,24,0,n
126,Corey Beck,1996,1999,G,6-1,190,"May 27, 1971","South Plains College, Arkansas",0,0,n
131,William Bedford,1987,1993,C,7-0,225,"December 14, 1963",Memphis,6,0,n
132,Reece Beekman,2025,2025,G,6-1,190,"October 8, 2001",Virginia,0,0,n
136,Marco Belinelli,2008,2020,G-F,6-5,220,"March 25, 1986",,18,0,n
137,Charlie Bell,2002,2011,G,6-3,200,"March 12, 1979",Michigan State,0,0,n
139,Jordan Bell,2018,2022,F,6-8,216,"January 7, 1995",Oregon,38,0,n
140,Raja Bell,2001,2012,G,6-5,204,"September 19, 1976","Boston University, Florida International University",0,0,n
141,Troy Bell,2004,2004,G,6-1,180,"November 10, 1980",Boston College,16,0,n
144,DeAndre' Bembry,2017,2022,F,6-5,210,"July 4, 1994",Saint Joseph's,21,0,n
147,Dragan Bender,2017,2020,F,7-0,225,"November 17, 1997",,4,0,n
148,Jonathan Bender,2000,2010,F,6-11,202,"January 30, 1981",,5,0,n
149,Jerrelle Benimon,2015,2015,F,6-8,245,"August 1, 1991","Georgetown, Towson University",0,0,n
150,Benoit Benjamin,1986,2000,C,7-0,250,"November 22, 1964",Creighton,3,0,n
151,Corey Benjamin,1999,2003,G,6-6,200,"February 24, 1978",Oregon State,28,0,n
152,Anthony Bennett,2014,2017,F,6-8,245,"March 14, 1993",UNLV,1,0,n
153,Elmer Bennett,1995,1997,G,6-0,170,"February 13, 1970",Notre Dame,38,0,n
154,Mario Bennett,1996,2000,F,6-6,235,"August 1, 1973",Arizona State,27,0,n
157,Tony Bennett,1993,1995,G,6-0,175,"June 1, 1969",Green Bay,35,0,n
158,Winston Bennett,1990,1992,F,6-7,210,"February 9, 1965",Kentucky,64,0,n
159,David Benoit,1992,2001,F,6-8,220,"May 9, 1968",Alabama,0,0,n
160,Keith Benson,2012,2012,C,6-11,240,"August 13, 1988",Oakland,48,0,n
161,Kent Benson,1978,1988,C,6-10,235,"December 27, 1954",Indiana,1,0,n
162,Ben Bentil,2017,2017,F,6-9,235,"March 29, 1995",Providence,51,0,n
166,Jules Bernard,2024,2024,F,6-7,210,"January 21, 2000",UCLA,0,0,n
167,Ricky Berry,1989,1989,F,6-8,205,"October 6, 1964","Oregon State, San Jose State",18,0,n
168,Walter Berry,1987,1989,F,6-8,215,"May 14, 1964",St. John's,14,0,n
169,Dairis Bertāns,2019,2019,G,6-4,200,"September 9, 1989",,0,0,n
170,Dāvis Bertāns,2017,2024,F,6-10,225,"November 12, 1992",,42,0,n
172,Travis Best,1996,2005,G,5-11,182,"July 12, 1972",Georgia Tech,23,0,n
173,Patrick Beverley,2013,2024,G,6-2,180,"July 12, 1988",Arkansas,42,0,n
174,Saddiq Bey,2021,2024,F,6-7,215,"April 9, 1999",Villanova,19,0,n
175,Tyler Bey,2021,2021,F,6-7,215,"February 10, 1998",Colorado,36,0,n
176,Sim Bhullar,2015,2015,C,7-5,360,"December 2, 1992",New Mexico State,0,0,n
181,Mike Bibby,1999,2012,G,6-1,190,"May 13, 1978",Arizona,2,0,n
183,Andris Biedriņš,2005,2014,C,6-11,240,"April 2, 1986",,11,0,n
187,Chauncey Billups,1998,2014,G,6-3,202,"September 25, 1976",Colorado,3,0,n
189,Joe Binion,1987,1987,F,6-8,235,"March 26, 1961",North Carolina A&T,57,0,n
190,Khem Birch,2018,2023,C-F,6-9,233,"September 28, 1992","Pitt, UNLV",0,0,n
191,Jabari Bird,2018,2018,G,6-6,198,"July 3, 1994",California,56,0,n
193,Larry Bird,1980,1992,F,6-9,220,"December 7, 1956",Indiana State University,6,0,n
194,Otis Birdsong,1978,1989,G,6-3,190,"December 9, 1955",Houston,2,0,n
196,Goga Bitadze,2020,2025,C,6-11,250,"July 20, 1999",,18,0,n
197,Onuralp Bitim,2024,2024,F,6-6,215,"March 31, 1999",,0,0,n
198,Bismack Biyombo,2012,2024,C-F,6-8,255,"August 28, 1992",,7,0,n
199,Nemanja Bjelica,2016,2022,F,6-10,234,"May 9, 1988",,35,0,n
200,Uwe Blab,1986,1990,C,7-1,252,"March 26, 1962",Indiana,17,0,n
201,Anthony Black,2024,2025,G,6-7,198,"January 20, 2004",Arkansas,6,0,n
203,Leaky Black,2024,2024,F,6-9,205,"June 14, 1999",UNC,0,0,n
205,Tarik Black,2015,2018,C-F,6-9,250,"November 22, 1991","Memphis, Kansas",0,0,n
207,Rolando Blackman,1982,1994,G,6-6,190,"February 26, 1959",Kansas State,9,0,n
208,Alex Blackwell,1993,1993,F,6-6,250,"June 27, 1970",Monmouth University,0,0,n
209,Cory Blackwell,1985,1985,F,6-6,210,"March 27, 1963",Wisconsin,28,0,n
210,James Blackwell,1995,1995,G,6-0,190,"February 25, 1968",Dartmouth College,0,0,n
211,Nate Blackwell,1988,1988,G,6-4,170,"February 15, 1965",Temple,27,0,n
212,DeJuan Blair,2010,2016,F-C,6-7,270,"April 22, 1989",Pitt,37,0,n
213,Steve Blake,2004,2016,G,6-3,172,"February 26, 1980",Maryland,38,0,n
214,Antonio Blakeney,2018,2019,G,6-4,192,"October 4, 1996",LSU,0,0,n
215,Will Blalock,2007,2007,G,6-0,205,"September 8, 1983",Iowa State,60,0,n
217,Lance Blanks,1991,1993,G,6-4,190,"September 9, 1966","Virginia, Texas",26,0,n
218,Ricky Blanton,1993,1993,F,6-7,215,"April 21, 1966",LSU,46,0,n
219,Andray Blatche,2006,2014,F,6-11,235,"August 22, 1986",,49,0,n
220,Mookie Blaylock,1990,2002,G,6-0,180,"March 20, 1967","Midland College, Oklahoma",12,0,n
221,Eric Bledsoe,2011,2022,G,6-1,214,"December 9, 1989",Kentucky,18,0,n
222,Keljin Blevins,2021,2022,F,6-4,200,"November 24, 1995","Southern Miss, Montana State",0,0,n
226,Jaron Blossomgame,2019,2019,F,6-8,220,"September 16, 1993",Clemson,59,0,n
227,Corie Blount,1994,2004,F,6-9,240,"January 4, 1969",Cincinnati,25,0,n
228,Mark Blount,2001,2009,C,7-0,230,"November 30, 1975",Pitt,55,0,n
229,Vander Blue,2014,2018,G,6-4,200,"July 17, 1992",Marquette,0,0,n
232,Tony Bobbitt,2005,2005,G,6-4,190,"October 22, 1979",Cincinnati,0,0,n
234,Buddy Boeheim,2023,2024,G,6-6,205,"November 11, 1999",Syracuse,0,0,n
236,Keith Bogans,2004,2014,G-F,6-5,215,"May 12, 1980",Kentucky,43,0,n
237,Bogdan Bogdanović,2018,2025,G,6-5,220,"August 18, 1992",,27,0,n
238,Bojan Bogdanović,2015,2024,G-F,6-7,226,"April 18, 1989",,31,0,n
239,Muggsy Bogues,1988,2001,G,5-3,136,"January 9, 1965",Wake Forest,12,0,n
240,Andrew Bogut,2006,2019,C,7-0,260,"November 28, 1984",Utah,1,0,n
241,Etdrick Bohannon,1998,2001,F,6-9,220,"May 29, 1973","Arizona, Tennessee, Auburn University at Montgomery",0,0,n
242,Bol Bol,2020,2025,F-C,7-3,220,"November 16, 1999",Oregon,44,0,n
243,Manute Bol,1986,1995,C,7-7,200,"October 16, 1962",University of Bridgeport,31,0,n
244,Jonah Bolden,2019,2020,F,6-8,220,"January 2, 1996",UCLA,36,0,n
245,Marques Bolden,2020,2024,C,6-10,249,"April 17, 1998",Duke,0,0,n
247,Leandro Bolmaro,2022,2023,F,6-6,200,"September 11, 2000",,23,0,n
248,Joel Bolomboy,2017,2018,F,6-9,235,"January 28, 1994",Weber State,52,0,n
251,Adem Bona,2025,2025,F-C,6-10,235,"March 28, 2003",UCLA,41,0,n
253,Walter Bond,1993,1995,G,6-5,200,"February 1, 1969",Minnesota,0,0,n
254,Jordan Bone,2020,2021,G,6-2,180,"November 5, 1997",Tennessee,57,0,n
255,Dexter Boney,1997,1997,G,6-4,185,"April 27, 1970",UNLV,0,0,n
256,Isaac Bonga,2019,2022,G,6-8,180,"November 8, 1999",,39,0,n
258,Anthony Bonner,1991,1996,F,6-8,215,"June 8, 1968",Saint Louis,23,0,n
259,Matt Bonner,2005,2016,F,6-10,235,"April 5, 1980",Florida,45,0,n
